time,iteration,estimator_type,estimator_value,Phase_J/psi(1S)_to_f(0)(1500)_0+gamma_1;f(0)(1500)_to_pi0_0+pi0_0;,Width_f(0)(500),Mass_f(0)(1710),Width_f(0)(1710)
2020-11-20 16:41:20.171542,0,UnbinnedNLL,-10421.564332372333,0.0,0.12,1.8,0.3
2020-11-20 16:41:25.753604,10,UnbinnedNLL,-10736.516062456229,0.0,0.12,1.7873107947364482,0.3
2020-11-20 16:41:31.252133,20,UnbinnedNLL,-12319.292792103603,-0.3106895280119236,0.2639236194350515,1.695267069905833,0.3376918227333134
2020-11-20 16:41:37.038295,30,UnbinnedNLL,-12314.818443917593,-0.312179322395886,0.2639236194350515,1.695267069905833,0.33946324633558844
2020-11-20 16:41:43.167948,40,UnbinnedNLL,-13279.737541165958,0.18027967308962528,0.49098227964533847,1.6957338951314187,0.1523169244838804
2020-11-20 16:42:12.451299,50,UnbinnedNLL,-13279.284498126275,0.18027967308962528,0.4904626247377084,1.6957338951314187,0.15265941841420738
2020-11-20 16:42:19.755146,60,UnbinnedNLL,-13319.205888983875,0.16521576959356044,0.5058244641265102,1.703484838083127,0.13598258125337562
2020-11-20 16:42:26.357085,70,UnbinnedNLL,-13352.550748842408,0.026627773607664357,0.5107568016288734,1.7115054623129844,0.13612560361470927
2020-11-20 16:42:32.207993,80,UnbinnedNLL,-13365.147883115693,-0.04292726303467029,0.5209973897057412,1.710884466120014,0.11873663745071582
2020-11-20 16:42:38.062471,90,UnbinnedNLL,-13368.305651307463,-0.054575359575163095,0.5215098678815875,1.70901109882078,0.12219081172203639
2020-11-20 16:42:43.719945,100,UnbinnedNLL,-13368.943656956202,-0.048092845426921285,0.5353727066692442,1.7083943739331662,0.12177416922144649
2020-11-20 16:42:49.434196,110,UnbinnedNLL,-13369.068934758165,-0.04764401329179128,0.5382423911330698,1.708727046014869,0.12295943530035397
2020-11-20 16:42:54.744397,120,UnbinnedNLL,-13369.065690751158,-0.046132256895879895,0.5382423911330698,1.708727046014869,0.12295943530035397
2020-11-20 16:42:59.481968,130,UnbinnedNLL,-13369.068815959112,-0.04764401329179128,0.5384616446399971,1.708727046014869,0.12295943530035397
2020-11-20 16:43:04.338842,140,UnbinnedNLL,-13369.068928709772,-0.04764401329179128,0.5382423911330698,1.708727046014869,0.1229699061547684
